Gtype 1
Gr1_inner 8
Gr1_outer 61
Gr2_inner 8
Gr2_outer 61
Gdx 2.07336
Gdy 2.07336
Gdz 20.05
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 1.95
Gcrystal_dy 1.95
Gcrystal_dz 20
Gcarbon_gap 0.025
Greflective_foil_thickness 0.0066
Gtedlar_thickness 0.00508
carbon_frame_style 1
carbon_frame_depth 2.0
carbon_face_lip 0.1
Gair_gap 0
Gmaterial 0.5
Gcolor_R 0
Gcolor_G 0
Gcolor_B 1
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 7 46 0 -45 33 -185 1.95 1.95 20 0 0 0
Tower 0 7 47 0 -45 35 -185 1.95 1.95 20 0 0 0
Tower 0 6 48 0 -47 37 -185 1.95 1.95 20 0 0 0
Tower 0 6 49 0 -47 39 -185 1.95 1.95 20 0 0 0
Tower 0 7 48 0 -45 37 -185 1.95 1.95 20 0 0 0
Tower 0 7 49 0 -45 39 -185 1.95 1.95 20 0 0 0
Tower 0 8 8 0 -43 -43 -185 1.95 1.95 20 0 0 0
Tower 0 8 9 0 -43 -41 -185 1.95 1.95 20 0 0 0
Tower 0 9 8 0 -41 -43 -185 1.95 1.95 20 0 0 0
Tower 0 9 9 0 -41 -41 -185 1.95 1.95 20 0 0 0
Tower 0 8 10 0 -43 -39 -185 1.95 1.95 20 0 0 0
Tower 0 8 11 0 -43 -37 -185 1.95 1.95 20 0 0 0
Tower 0 9 10 0 -41 -39 -185 1.95 1.95 20 0 0 0
Tower 0 9 11 0 -41 -37 -185 1.95 1.95 20 0 0 0
Tower 0 8 12 0 -43 -35 -185 1.95 1.95 20 0 0 0
Tower 0 8 13 0 -43 -33 -185 1.95 1.95 20 0 0 0
Tower 0 9 12 0 -41 -35 -185 1.95 1.95 20 0 0 0
Tower 0 9 13 0 -41 -33 -185 1.95 1.95 20 0 0 0
Tower 0 8 14 0 -43 -31 -185 1.95 1.95 20 0 0 0
Tower 0 8 15 0 -43 -29 -185 1.95 1.95 20 0 0 0
Tower 0 9 14 0 -41 -31 -185 1.95 1.95 20 0 0 0
Tower 0 9 15 0 -41 -29 -185 1.95 1.95 20 0 0 0
Tower 0 8 16 0 -43 -27 -185 1.95 1.95 20 0 0 0
Tower 0 8 17 0 -43 -25 -185 1.95 1.95 20 0 0 0
Tower 0 9 16 0 -41 -27 -185 1.95 1.95 20 0 0 0
Tower 0 9 17 0 -41 -25 -185 1.95 1.95 20 0 0 0
Tower 0 8 18 0 -43 -23 -185 1.95 1.95 20 0 0 0
Tower 0 8 19 0 -43 -21 -185 1.95 1.95 20 0 0 0
Tower 0 9 18 0 -41 -23 -185 1.95 1.95 20 0 0 0
Tower 0 9 19 0 -41 -21 -185 1.95 1.95 20 0 0 0
Tower 0 8 20 0 -43 -19 -185 1.95 1.95 20 0 0 0
Tower 0 8 21 0 -43 -17 -185 1.95 1.95 20 0 0 0
Tower 0 9 20 0 -41 -19 -185 1.95 1.95 20 0 0 0
Tower 0 9 21 0 -41 -17 -185 1.95 1.95 20 0 0 0
Tower 0 8 22 0 -43 -15 -185 1.95 1.95 20 0 0 0
Tower 0 8 23 0 -43 -13 -185 1.95 1.95 20 0 0 0
Tower 0 9 22 0 -41 -15 -185 1.95 1.95 20 0 0 0
Tower 0 9 23 0 -41 -13 -185 1.95 1.95 20 0 0 0
Tower 0 8 24 0 -43 -11 -185 1.95 1.95 20 0 0 0
Tower 0 8 25 0 -43 -9 -185 1.95 1.95 20 0 0 0
Tower 0 9 24 0 -41 -11 -185 1.95 1.95 20 0 0 0
Tower 0 9 25 0 -41 -9 -185 1.95 1.95 20 0 0 0
Tower 0 8 26 0 -43 -7 -185 1.95 1.95 20 0 0 0
Tower 0 8 27 0 -43 -5 -185 1.95 1.95 20 0 0 0
Tower 0 9 26 0 -41 -7 -185 1.95 1.95 20 0 0 0
Tower 0 9 27 0 -41 -5 -185 1.95 1.95 20 0 0 0
Tower 0 8 28 0 -43 -3 -185 1.95 1.95 20 0 0 0
Tower 0 8 29 0 -43 -1 -185 1.95 1.95 20 0 0 0
Tower 0 9 28 0 -41 -3 -185 1.95 1.95 20 0 0 0
Tower 0 9 29 0 -41 -1 -185 1.95 1.95 20 0 0 0
Tower 0 8 30 0 -43 1 -185 1.95 1.95 20 0 0 0
Tower 0 8 31 0 -43 3 -185 1.95 1.95 20 0 0 0
Tower 0 9 30 0 -41 1 -185 1.95 1.95 20 0 0 0
Tower 0 9 31 0 -41 3 -185 1.95 1.95 20 0 0 0
Tower 0 8 32 0 -43 5 -185 1.95 1.95 20 0 0 0
Tower 0 8 33 0 -43 7 -185 1.95 1.95 20 0 0 0
Tower 0 9 32 0 -41 5 -185 1.95 1.95 20 0 0 0
Tower 0 9 33 0 -41 7 -185 1.95 1.95 20 0 0 0
Tower 0 8 34 0 -43 9 -185 1.95 1.95 20 0 0 0
Tower 0 8 35 0 -43 11 -185 1.95 1.95 20 0 0 0
Tower 0 9 34 0 -41 9 -185 1.95 1.95 20 0 0 0
Tower 0 9 35 0 -41 11 -185 1.95 1.95 20 0 0 0
Tower 0 8 36 0 -43 13 -185 1.95 1.95 20 0 0 0
Tower 0 8 37 0 -43 15 -185 1.95 1.95 20 0 0 0
Tower 0 9 36 0 -41 13 -185 1.95 1.95 20 0 0 0
Tower 0 9 37 0 -41 15 -185 1.95 1.95 20 0 0 0
Tower 0 8 38 0 -43 17 -185 1.95 1.95 20 0 0 0
Tower 0 8 39 0 -43 19 -185 1.95 1.95 20 0 0 0
Tower 0 9 38 0 -41 17 -185 1.95 1.95 20 0 0 0
Tower 0 9 39 0 -41 19 -185 1.95 1.95 20 0 0 0
Tower 0 8 40 0 -43 21 -185 1.95 1.95 20 0 0 0
Tower 0 8 41 0 -43 23 -185 1.95 1.95 20 0 0 0
Tower 0 9 40 0 -41 21 -185 1.95 1.95 20 0 0 0
Tower 0 9 41 0 -41 23 -185 1.95 1.95 20 0 0 0
Tower 0 8 42 0 -43 25 -185 1.95 1.95 20 0 0 0
Tower 0 8 43 0 -43 27 -185 1.95 1.95 20 0 0 0
Tower 0 9 42 0 -41 25 -185 1.95 1.95 20 0 0 0
Tower 0 9 43 0 -41 27 -185 1.95 1.95 20 0 0 0
Tower 0 8 44 0 -43 29 -185 1.95 1.95 20 0 0 0
Tower 0 8 45 0 -43 31 -185 1.95 1.95 20 0 0 0
Tower 0 9 44 0 -41 29 -185 1.95 1.95 20 0 0 0
Tower 0 9 45 0 -41 31 -185 1.95 1.95 20 0 0 0
Tower 0 8 46 0 -43 33 -185 1.95 1.95 20 0 0 0
Tower 0 8 47 0 -43 35 -185 1.95 1.95 20 0 0 0
Tower 0 9 46 0 -41 33 -185 1.95 1.95 20 0 0 0
Tower 0 9 47 0 -41 35 -185 1.95 1.95 20 0 0 0
Tower 0 8 48 0 -43 37 -185 1.95 1.95 20 0 0 0
Tower 0 8 49 0 -43 39 -185 1.95 1.95 20 0 0 0
Tower 0 9 48 0 -41 37 -185 1.95 1.95 20 0 0 0
Tower 0 9 49 0 -41 39 -185 1.95 1.95 20 0 0 0
Tower 0 8 50 0 -43 41 -185 1.95 1.95 20 0 0 0
Tower 0 8 51 0 -43 43 -185 1.95 1.95 20 0 0 0
Tower 0 9 50 0 -41 41 -185 1.95 1.95 20 0 0 0
Tower 0 9 51 0 -41 43 -185 1.95 1.95 20 0 0 0
Tower 0 10 6 0 -39 -47 -185 1.95 1.95 20 0 0 0
Tower 0 10 7 0 -39 -45 -185 1.95 1.95 20 0 0 0
Tower 0 11 6 0 -37 -47 -185 1.95 1.95 20 0 0 0
Tower 0 11 7 0 -37 -45 -185 1.95 1.95 20 0 0 0
Tower 0 10 8 0 -39 -43 -185 1.95 1.95 20 0 0 0
Tower 0 10 9 0 -39 -41 -185 1.95 1.95 20 0 0 0
Tower 0 11 8 0 -37 -43 -185 1.95 1.95 20 0 0 0
