Gtype 1
Gr1_inner 53
Gr1_outer 75
Gr2_inner 53
Gr2_outer 75
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 24 3 0 20 -64 -210 3.8 3.8 40 0 0 0
Tower 0 24 4 0 20 -60 -210 3.8 3.8 40 0 0 0
Tower 0 24 5 0 20 -56 -210 3.8 3.8 40 0 0 0
Tower 0 24 6 0 20 -52 -210 3.8 3.8 40 0 0 0
Tower 0 24 32 0 20 52 -210 3.8 3.8 40 0 0 0
Tower 0 24 33 0 20 56 -210 3.8 3.8 40 0 0 0
Tower 0 24 34 0 20 60 -210 3.8 3.8 40 0 0 0
Tower 0 24 35 0 20 64 -210 3.8 3.8 40 0 0 0
Tower 0 24 36 0 20 68 -210 3.8 3.8 40 0 0 0
Tower 0 25 2 0 24 -68 -210 3.8 3.8 40 0 0 0
Tower 0 25 3 0 24 -64 -210 3.8 3.8 40 0 0 0
Tower 0 25 4 0 24 -60 -210 3.8 3.8 40 0 0 0
Tower 0 25 5 0 24 -56 -210 3.8 3.8 40 0 0 0
Tower 0 25 6 0 24 -52 -210 3.8 3.8 40 0 0 0
Tower 0 25 7 0 24 -48 -210 3.8 3.8 40 0 0 0
Tower 0 25 31 0 24 48 -210 3.8 3.8 40 0 0 0
Tower 0 25 32 0 24 52 -210 3.8 3.8 40 0 0 0
Tower 0 25 33 0 24 56 -210 3.8 3.8 40 0 0 0
Tower 0 25 34 0 24 60 -210 3.8 3.8 40 0 0 0
Tower 0 25 35 0 24 64 -210 3.8 3.8 40 0 0 0
Tower 0 25 36 0 24 68 -210 3.8 3.8 40 0 0 0
Tower 0 26 2 0 28 -68 -210 3.8 3.8 40 0 0 0
Tower 0 26 3 0 28 -64 -210 3.8 3.8 40 0 0 0
Tower 0 26 4 0 28 -60 -210 3.8 3.8 40 0 0 0
Tower 0 26 5 0 28 -56 -210 3.8 3.8 40 0 0 0
Tower 0 26 6 0 28 -52 -210 3.8 3.8 40 0 0 0
Tower 0 26 7 0 28 -48 -210 3.8 3.8 40 0 0 0
Tower 0 26 31 0 28 48 -210 3.8 3.8 40 0 0 0
Tower 0 26 32 0 28 52 -210 3.8 3.8 40 0 0 0
Tower 0 26 33 0 28 56 -210 3.8 3.8 40 0 0 0
Tower 0 26 34 0 28 60 -210 3.8 3.8 40 0 0 0
Tower 0 26 35 0 28 64 -210 3.8 3.8 40 0 0 0
Tower 0 26 36 0 28 68 -210 3.8 3.8 40 0 0 0
Tower 0 27 3 0 32 -64 -210 3.8 3.8 40 0 0 0
Tower 0 27 4 0 32 -60 -210 3.8 3.8 40 0 0 0
Tower 0 27 5 0 32 -56 -210 3.8 3.8 40 0 0 0
Tower 0 27 6 0 32 -52 -210 3.8 3.8 40 0 0 0
Tower 0 27 7 0 32 -48 -210 3.8 3.8 40 0 0 0
Tower 0 27 8 0 32 -44 -210 3.8 3.8 40 0 0 0
Tower 0 27 30 0 32 44 -210 3.8 3.8 40 0 0 0
Tower 0 27 31 0 32 48 -210 3.8 3.8 40 0 0 0
