Gtype 1
Gr1_inner 84
Gr1_outer 132
Gr2_inner 84
Gr2_outer 132
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 5 37 0 -110 18 -260 3.8 3.8 40 0 0 0
Tower 0 5 38 0 -110 22 -260 3.8 3.8 40 0 0 0
Tower 0 5 39 0 -110 26 -260 3.8 3.8 40 0 0 0
Tower 0 5 40 0 -110 30 -260 3.8 3.8 40 0 0 0
Tower 0 5 41 0 -110 34 -260 3.8 3.8 40 0 0 0
Tower 0 5 42 0 -110 38 -260 3.8 3.8 40 0 0 0
Tower 0 5 43 0 -110 42 -260 3.8 3.8 40 0 0 0
Tower 0 5 44 0 -110 46 -260 3.8 3.8 40 0 0 0
Tower 0 5 45 0 -110 50 -260 3.8 3.8 40 0 0 0
Tower 0 5 46 0 -110 54 -260 3.8 3.8 40 0 0 0
Tower 0 5 47 0 -110 58 -260 3.8 3.8 40 0 0 0
Tower 0 5 48 0 -110 62 -260 3.8 3.8 40 0 0 0
Tower 0 5 49 0 -110 66 -260 3.8 3.8 40 0 0 0
Tower 0 5 50 0 -110 70 -260 3.8 3.8 40 0 0 0
Tower 0 6 13 0 -106 -78 -260 3.8 3.8 40 0 0 0
Tower 0 6 14 0 -106 -74 -260 3.8 3.8 40 0 0 0
Tower 0 6 15 0 -106 -70 -260 3.8 3.8 40 0 0 0
Tower 0 6 16 0 -106 -66 -260 3.8 3.8 40 0 0 0
Tower 0 6 17 0 -106 -62 -260 3.8 3.8 40 0 0 0
Tower 0 6 18 0 -106 -58 -260 3.8 3.8 40 0 0 0
Tower 0 6 19 0 -106 -54 -260 3.8 3.8 40 0 0 0
Tower 0 6 20 0 -106 -50 -260 3.8 3.8 40 0 0 0
Tower 0 6 21 0 -106 -46 -260 3.8 3.8 40 0 0 0
Tower 0 6 22 0 -106 -42 -260 3.8 3.8 40 0 0 0
Tower 0 6 23 0 -106 -38 -260 3.8 3.8 40 0 0 0
Tower 0 6 24 0 -106 -34 -260 3.8 3.8 40 0 0 0
Tower 0 6 25 0 -106 -30 -260 3.8 3.8 40 0 0 0
Tower 0 6 26 0 -106 -26 -260 3.8 3.8 40 0 0 0
Tower 0 6 27 0 -106 -22 -260 3.8 3.8 40 0 0 0
Tower 0 6 28 0 -106 -18 -260 3.8 3.8 40 0 0 0
Tower 0 6 29 0 -106 -14 -260 3.8 3.8 40 0 0 0
Tower 0 6 30 0 -106 -10 -260 3.8 3.8 40 0 0 0
Tower 0 6 31 0 -106 -6 -260 3.8 3.8 40 0 0 0
Tower 0 6 32 0 -106 -2 -260 3.8 3.8 40 0 0 0
Tower 0 6 33 0 -106 2 -260 3.8 3.8 40 0 0 0
Tower 0 6 34 0 -106 6 -260 3.8 3.8 40 0 0 0
Tower 0 6 35 0 -106 10 -260 3.8 3.8 40 0 0 0
Tower 0 6 36 0 -106 14 -260 3.8 3.8 40 0 0 0
Tower 0 6 37 0 -106 18 -260 3.8 3.8 40 0 0 0
Tower 0 6 38 0 -106 22 -260 3.8 3.8 40 0 0 0
Tower 0 6 39 0 -106 26 -260 3.8 3.8 40 0 0 0
Tower 0 6 40 0 -106 30 -260 3.8 3.8 40 0 0 0
Tower 0 6 41 0 -106 34 -260 3.8 3.8 40 0 0 0
Tower 0 6 42 0 -106 38 -260 3.8 3.8 40 0 0 0
Tower 0 6 43 0 -106 42 -260 3.8 3.8 40 0 0 0
Tower 0 6 44 0 -106 46 -260 3.8 3.8 40 0 0 0
Tower 0 6 45 0 -106 50 -260 3.8 3.8 40 0 0 0
Tower 0 6 46 0 -106 54 -260 3.8 3.8 40 0 0 0
Tower 0 6 47 0 -106 58 -260 3.8 3.8 40 0 0 0
Tower 0 6 48 0 -106 62 -260 3.8 3.8 40 0 0 0
Tower 0 6 49 0 -106 66 -260 3.8 3.8 40 0 0 0
Tower 0 6 50 0 -106 70 -260 3.8 3.8 40 0 0 0
Tower 0 6 51 0 -106 74 -260 3.8 3.8 40 0 0 0
Tower 0 6 52 0 -106 78 -260 3.8 3.8 40 0 0 0
Tower 0 7 12 0 -102 -82 -260 3.8 3.8 40 0 0 0
Tower 0 7 13 0 -102 -78 -260 3.8 3.8 40 0 0 0
Tower 0 7 14 0 -102 -74 -260 3.8 3.8 40 0 0 0
Tower 0 7 15 0 -102 -70 -260 3.8 3.8 40 0 0 0
Tower 0 7 16 0 -102 -66 -260 3.8 3.8 40 0 0 0
Tower 0 7 17 0 -102 -62 -260 3.8 3.8 40 0 0 0
Tower 0 7 18 0 -102 -58 -260 3.8 3.8 40 0 0 0
Tower 0 7 19 0 -102 -54 -260 3.8 3.8 40 0 0 0
Tower 0 7 20 0 -102 -50 -260 3.8 3.8 40 0 0 0
Tower 0 7 21 0 -102 -46 -260 3.8 3.8 40 0 0 0
Tower 0 7 22 0 -102 -42 -260 3.8 3.8 40 0 0 0
Tower 0 7 23 0 -102 -38 -260 3.8 3.8 40 0 0 0
Tower 0 7 24 0 -102 -34 -260 3.8 3.8 40 0 0 0
Tower 0 7 25 0 -102 -30 -260 3.8 3.8 40 0 0 0
Tower 0 7 26 0 -102 -26 -260 3.8 3.8 40 0 0 0
Tower 0 7 27 0 -102 -22 -260 3.8 3.8 40 0 0 0
Tower 0 7 28 0 -102 -18 -260 3.8 3.8 40 0 0 0
Tower 0 7 29 0 -102 -14 -260 3.8 3.8 40 0 0 0
Tower 0 7 30 0 -102 -10 -260 3.8 3.8 40 0 0 0
Tower 0 7 31 0 -102 -6 -260 3.8 3.8 40 0 0 0
Tower 0 7 32 0 -102 -2 -260 3.8 3.8 40 0 0 0
Tower 0 7 33 0 -102 2 -260 3.8 3.8 40 0 0 0
Tower 0 7 34 0 -102 6 -260 3.8 3.8 40 0 0 0
Tower 0 7 35 0 -102 10 -260 3.8 3.8 40 0 0 0
Tower 0 7 36 0 -102 14 -260 3.8 3.8 40 0 0 0
Tower 0 7 37 0 -102 18 -260 3.8 3.8 40 0 0 0
Tower 0 7 38 0 -102 22 -260 3.8 3.8 40 0 0 0
Tower 0 7 39 0 -102 26 -260 3.8 3.8 40 0 0 0
Tower 0 7 40 0 -102 30 -260 3.8 3.8 40 0 0 0
Tower 0 7 41 0 -102 34 -260 3.8 3.8 40 0 0 0
Tower 0 7 42 0 -102 38 -260 3.8 3.8 40 0 0 0
Tower 0 7 43 0 -102 42 -260 3.8 3.8 40 0 0 0
Tower 0 7 44 0 -102 46 -260 3.8 3.8 40 0 0 0
Tower 0 7 45 0 -102 50 -260 3.8 3.8 40 0 0 0
Tower 0 7 46 0 -102 54 -260 3.8 3.8 40 0 0 0
Tower 0 7 47 0 -102 58 -260 3.8 3.8 40 0 0 0
Tower 0 7 48 0 -102 62 -260 3.8 3.8 40 0 0 0
Tower 0 7 49 0 -102 66 -260 3.8 3.8 40 0 0 0
Tower 0 7 50 0 -102 70 -260 3.8 3.8 40 0 0 0
Tower 0 7 51 0 -102 74 -260 3.8 3.8 40 0 0 0
Tower 0 7 52 0 -102 78 -260 3.8 3.8 40 0 0 0
Tower 0 7 53 0 -102 82 -260 3.8 3.8 40 0 0 0
Tower 0 8 11 0 -98 -86 -260 3.8 3.8 40 0 0 0
Tower 0 8 12 0 -98 -82 -260 3.8 3.8 40 0 0 0
Tower 0 8 13 0 -98 -78 -260 3.8 3.8 40 0 0 0
Tower 0 8 14 0 -98 -74 -260 3.8 3.8 40 0 0 0
Tower 0 8 15 0 -98 -70 -260 3.8 3.8 40 0 0 0
Tower 0 8 16 0 -98 -66 -260 3.8 3.8 40 0 0 0
Tower 0 8 17 0 -98 -62 -260 3.8 3.8 40 0 0 0
Tower 0 8 18 0 -98 -58 -260 3.8 3.8 40 0 0 0
Tower 0 8 19 0 -98 -54 -260 3.8 3.8 40 0 0 0
Tower 0 8 20 0 -98 -50 -260 3.8 3.8 40 0 0 0
Tower 0 8 21 0 -98 -46 -260 3.8 3.8 40 0 0 0
Tower 0 8 22 0 -98 -42 -260 3.8 3.8 40 0 0 0
Tower 0 8 23 0 -98 -38 -260 3.8 3.8 40 0 0 0
Tower 0 8 24 0 -98 -34 -260 3.8 3.8 40 0 0 0
Tower 0 8 25 0 -98 -30 -260 3.8 3.8 40 0 0 0
Tower 0 8 26 0 -98 -26 -260 3.8 3.8 40 0 0 0
Tower 0 8 27 0 -98 -22 -260 3.8 3.8 40 0 0 0
Tower 0 8 28 0 -98 -18 -260 3.8 3.8 40 0 0 0
Tower 0 8 29 0 -98 -14 -260 3.8 3.8 40 0 0 0
Tower 0 8 30 0 -98 -10 -260 3.8 3.8 40 0 0 0
Tower 0 8 31 0 -98 -6 -260 3.8 3.8 40 0 0 0
Tower 0 8 32 0 -98 -2 -260 3.8 3.8 40 0 0 0
Tower 0 8 33 0 -98 2 -260 3.8 3.8 40 0 0 0
Tower 0 8 34 0 -98 6 -260 3.8 3.8 40 0 0 0
Tower 0 8 35 0 -98 10 -260 3.8 3.8 40 0 0 0
Tower 0 8 36 0 -98 14 -260 3.8 3.8 40 0 0 0
Tower 0 8 37 0 -98 18 -260 3.8 3.8 40 0 0 0
Tower 0 8 38 0 -98 22 -260 3.8 3.8 40 0 0 0
Tower 0 8 39 0 -98 26 -260 3.8 3.8 40 0 0 0
